"","lklh_diff_DM","lklh_diff_D"
"1930",0.806382978723404,0.616666666666667
"Europe+G7",0.432692307692308,0.222222222222222
"Europe",0.333333333333333,0.0454545454545455
"Europe+S&P",0.437209302325581,0.257142857142857
"G7+S&P",0.284090909090909,0.0454545454545455
