"","DM","D","one"
"Chile - Morocco",-76.4957247790098,-75.9005310773999,-76.5684658148218
"Ecuador - Guatemala",-107.060980121485,-101.732632296719,-87.5624921449883
"Peru - Philippines",-87.4939256153386,-89.5818458431961,-100.932277052039
"Peru - South.Africa",-104.984906903883,-100.967126706651,-105.133559190126
