"class" "data" "Perc." "Avg..d_1" "Avg..d_2" "Avg..P_11" "Avg..P_22" "Rej..ADF"
"1" "S - S" "1930" 0.112698412698413 0.601294756933739 0.923111020256652 0.852738699909939 0.993272917640841 0.019047619047619
"2" "S - S" "1930" 0.787301587301587 0.580424708340747 1.23734835086929 0.868847515689516 0.990016901714492 0.0746031746031746
"3" "S - S" "1930" 0.1 1.18824334478759 1.51506511017395 0.945249217129558 0.887201351961512 0.0206349206349206
"4" "S - S" "1940" 0.104761904761905 0.557196516524483 0.924477430635782 0.849835291204106 0.99361489175373 0.0126984126984127
"5" "S - S" "1940" 0.798412698412698 0.531702393534922 1.26866839018845 0.871196148823011 0.992180062421724 0.120634920634921
"6" "N - Y" "1940" 0.0968253968253968 1.22885332426365 1.6777118349231 0.962936424990121 0.908455614494908 0.0206349206349206
"7" "N - Y" "g7+eu" 0.07 0.750711629362252 0.91855181387573 0.869105429358047 0.998152992174215 0.00666666666666667
"8" "N - Y" "g7+eu" 0.89 0.72592523591107 1.25932349328471 0.875744388019627 0.996828863165126 0.113333333333333
"9" "N - Y" "g7+eu" 0.04 1.19349912846334 1.38226002169374 0.883127873160524 0.970718806968601 0
"10" "N - Y" "g7+sp" 0.0492307692307692 0.746471330674041 0.943528260848545 0.863036238164087 0.998285328223752 0.00923076923076923
"11" "Y - Y" "g7+sp" 0.913846153846154 0.732561615904223 1.28046785745097 0.86119197655478 0.996909629787328 0.0738461538461539
"12" "Y - Y" "g7+sp" 0.0369230769230769 1.14665415580035 1.38427136417005 0.879325082760844 0.985207055487951 0
"13" "Y - Y" "eu+sp" 0.0405405405405405 0.747843397698027 0.91337419247206 0.861595278888207 0.998373235867049 0.0045045045045045
"14" "Y - Y" "eu+sp" 0.90990990990991 0.715265309191823 1.2796652925185 0.865010556840009 0.996519157913682 0.0510510510510511
"15" "Y - Y" "eu+sp" 0.0495495495495495 1.17460471350891 1.37293913007984 0.877750115045792 0.974845802907698 0
